,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
498,Giani's," Desserts, Beverages",400,,PG Road,,Secunderabad
499,Shree Ganesh Darshini, South Indian,300,3,Kachiguda,,Central Hyderabad
500,Pastel Pastisserie And Bistro," Italian, American",900,,Banjara Hills,,Central East Hyderabad
501,The Fame Kitchen," North Indian, South Indian",700,5,Cuba Food Havana,Film Nagar,Central West Hyderabad
502,Churrolto," Italian, Pizza, Burger, Desserts",1000,4.7,Film Nagar,,Central West Hyderabad
503,Naomi Patisserie and Bakehouse," Italian, French",1500,4,Jubilee Hills,,Central West Hyderabad
504,Ravi dhaba," North Indian, Chinese",500,4.8,Begum Bazaar,,South Hyderabad
505,Isha Life Mahamudra," South Indian, Health Food",1000,4.4,Jubilee Hills,,Central West Hyderabad
506,Ek Pyali Chai," Fast Food, Beverages",300,,Lakdi-Ka-Pul,,Central Hyderabad
507,Moyaaah!," Continental, Fast Food, Beverages, Desserts",700,,Delta Seacon Building,Banjara Hills,Central East Hyderabad
508,Wyld Dog," Continental, Fast Food",2000,5,Apurupa BDR,Jubilee Hills,Central West Hyderabad
509,Captain Egg, Fast Food,1000,4.1,Jubilee Hills,,Central West Hyderabad
510,The Nosh Bistro," Fast Food, Italian",800,,Sindhi Colony,,Secunderabad
511,Urban Asia-Kitchen and Bar," Chinese, Thai, Tibetan, Asian",1500,4.1,Jahnavi Trade Center,Jubilee Hills,Central West Hyderabad
512,Monginis," Fast Food, Desserts",300,,Amberpet,,East Hyderabad
513,Jamie's Pizzeria By Jamie Oliver," Italian, Pizza",1000,4.5,Niharika Jubilee One,Jubilee Hills,Central West Hyderabad
514,QUAD BAR & KITCHEN," North Indian, Chinese, Continental",2000,5,Film Nagar,,Central West Hyderabad
515,ABC - Absolutely Broasted Chicken, Fast Food,400,4.2,Tolichowki,,Central Hyderabad
516,Temptations," Desserts, Fast Food, Beverages",600,4.2,Begum Bazaar,,South Hyderabad
517,Kritunga - The Palegar Cuisine," Andhra, North Indian, Chinese, Hyderabadi",800,5,Moosapet,,West Hyderabad
518,Eagles Bar and Restaurant - Level 3," North Indian, South Indian",1000,,Shree Venkateshwara Hotel,Lakdi-Ka-Pul,Central Hyderabad
519,Eat India Company," North Indian, Desserts",1100,4,Jahnavi Trade Center,Jubilee Hills,Central West Hyderabad
520,Phulkaas," Chinese, Continental, North Indian",700,1,Kavadiguda,,Central Hyderabad
521,M Cafe," Fast Food, Desserts, Beverages",400,,Ameerpet,,Central East Hyderabad
522,Zafar's Fine Dine," Chinese, Arabian, North Indian",900,3.6,Yousuf Tekri Complex,Tolichowki,Central Hyderabad
523,45th Avenue," Continental, Desserts",800,4.4,Niharika Jubilee One,Jubilee Hills,Central West Hyderabad
524,1441 Pizzeria," Italian, Pizza",1200,2,Banjara Hills,,Central East Hyderabad
525,President Dhaba Bar & Kitchen," North Indian, Chinese",2000,4.1,Shreshta Aura,Jubilee Hills,Central West Hyderabad
526,Gappe Vappe," Street Food, Beverages",500,4.8,SL Jubliee,Jubilee Hills,Central West Hyderabad
527,TiKi Shack - Rooftop Bar," Fast Food, Continental, Street Food, Pizza, Beverages",1800,3.9,Jahnavi Trade Center,Jubilee Hills,Central West Hyderabad
528,4 Seasons," Chinese, North Indian, Mughlai",1200,3.5,Yousuf Tekri Complex,Tolichowki,Central Hyderabad
529,Sri Andhra Pulav.com," South Indian, Andhra, Biryani",600,,Ameerpet,,Central East Hyderabad
